sentiment,headline
0,the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility  contrary to earlier layoffs the company contracted the ranks of its office workers  the daily postimees reported .
1,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .
1,according to the company's updated strategy for the years 20092012  basware targets a longterm net sales growth in the range of 20  40  with an operating profit margin of 10  20  of net sales .
1,financing of aspocomp's growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs .
1,for the last quarter of 2010  componenta's net sales doubled to eur131m from eur76m for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of eur7m .
1,in the third quarter of 2010  net sales increased by 5.2  to eur 205.5 mn  and operating profit by 34.9  to eur 23.5 mn .
1,operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7  of net sales .
1,operating profit totalled eur 21.1 mn  up from eur 18.6 mn in 2007  representing 9.7  of net sales .
1,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom's offering to its customers .
1,stora enso  norske skog  mreal  upmkymmene credit suisse first boston  cfsb  raised the fair value for shares in four of the largest nordic forestry groups .
1,a purchase agreement for 7200 tons of gasoline with delivery at the hamina terminal  finland  was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month .
1,finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004  and net sales totaled eur 103.3 mn  up from eur 96.4 mn .
1,clothing retail chain seppælæ's sales increased by 8  to eur 155.2 mn  and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .
1,consolidated net sales increased 16  to reach eur74 .8 m  while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .
1,foundries division reports its sales increased by 9.7  to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006  and sales of the machine shop division increased by 16.4  to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .
1,helsinki  afx   shares closed higher  led by nokia after it announced plans to team up with sanyo to manufacture 3g handsets  and by nokian tyres after its fourthquarter earnings report beat analysts ' expectations  dealers said .
1,incap contract manufacturing services pvt ltd  a subsidiary of incap corporation of finland  plans to double its revenues by 20072008 .
1,its board of directors will propose a dividend of eur0 .12 per share for 2010  up from the eur0 .08 per share paid in 2009 .
1,lifetree was founded in 2000  and its revenues have risen on an average by 40  with margins in late 30s .
1,filippova  a trilateral agreement on investment in the construction of a technology park in st petersburg was to have been signed in the course of the forum  days of the russian economy  that opened in helsinki today .
1,megafon's subscriber base increased 16.1  in 2009 to 50.5 million users as of december 31  while its market share by the number of customers amounted to 24  as of late 2009  up from 23  as of late 2008  according to teliasonera estimates .
1,net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn  and net income from nonlife insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 .
1,net sales increased to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2  to eur43 .1 m.  eur1  usd1 .4
1,net sales surged by 18.5  to eur167 .8 m. teleste said that eur20 .4 m  or 12.2   of the sales came from the acquisitions made in 2009 .
1,nordea group's operating profit increased in 2010 by 18 percent yearonyear to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .
1,operating profit for the ninemonth period increased from eur13 .6 m  while net sales increased from eur394 .7 m  as compared to the corresponding period in 2005 .
1,operating profit for the ninemonth period increased from eur3 .1 m and net sales increased from eur61 .5 m  as compared to the corresponding period in 2007 .
1,operating profit for the threemonth period increased from eur1 .2 m  while revenue increased from eur20 .2 m  as compared to the corresponding period in 2005 .
1,the brazilian unit of finnish security solutions provider fsecure signed up 1500 new clients last year  online news source reseller web quoted the division's commercial director  vladimir brand_o  as saying .
1,the company's net profit rose 11.4  on the year to 82.2 million euros in 2005 on sales of 686.5 million euros  13.8  up on the year  the company said earlier .
1,the lithuanian beer market made up 14.41 million liters in january  a rise of 0.8 percent from the yearearlier figure  the lithuanian brewers ' association reporting citing the results from its members .
1,viking line's cargo revenue increased by 5.4  to eur 21.46 mn  and cargo volume increased by 2.4  to 70116 cargo units .
1,the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2686.2 1259.7 million .
1,10 february 2011  finnish media company sanoma oyj hel  saa1v said yesterday its 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .
1,a helsinki  eliiv today reported eps of eur1 .13 for 2009  an increase over eps of eur1 .12 in 2008 .
1,aspo plc stock exchange release february 11  2011 at8 .45 a.m. esl shipping ltd  part of aspo group  has signed a new  longterm contract with rautaruukki corporation for the marine transport of raw materials on the baltic sea .
1,commission income increased by 22  to eur 4.4 mn  and lending volume rose by 13.5  .
1,in january  traffic  measured in revenue passenger kilometres rpk  went up by 3.2  and capacity  measured in available seat kilometres ask  rose by 12.2  .
1,in januaryseptember 2010  fiskars ' net profit went up by 14  yearonyear to eur 65.4 million and net sales to eur 525.3 million from eur 487.7 million .
1,net income from life insurance rose to eur 16.5 mn from eur 14.0 mn  and net income from nonlife insurance to eur 22.6 mn from eur 15.2 mn in 2009 .
1,nyrstar has also agreed to supply to talvivaara up to 150000 tonnes of sulphuric acid per annum for use in talvivaara's leaching process during the period of supply of the zinc in concentrate .
1,sales for both the department store division and hobby hall increased by 7   while sales for the clothing store subsidiary seppala decreased by 4  .
1,sales have risen in other export markets .
1,sales increased due to growing market rates and increased operations .
1,the agreement strengthens our longterm partnership with nokia siemens networks .
1,the agreement was signed with biohit healthcare ltd  the ukbased subsidiary of biohit oyj  a finnish public company which develops  manufactures and markets liquid handling products and diagnostic test systems .
1,the company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached eur 141.7 million .
1,the company's order book stood at 1.5 bln euro  2.2 bln on september 30  2007  up by 24.2 pct on the year  with international orders amounting to 365 mln euro  534.3 mln .
1,the company said that paper demand increased in all of its main markets  including of publication papers  and that it increased average paper prices by 4 percent compared with last year .
1,the world's second largest stainless steel maker said net profit in the threemonth period until dec. 31 surged to euro603 million us 781 million  or euro3 .33 us 4.31 per share  from euro172 million  or euro0 .94 per share  the previous year .
1,within the framework of the partnership  nokia siemens networks has signed an initial framework purchase agreement with sitronics subsidiary  jsc mikron  which is the largest manufacturer and exporter of microelectronic components in russia .
1,seppala's revenue increased by 0.2  to eur10 .1 m. in finland  revenue went down by 2.4  to eur6 .8 m  while sales abroad rose by 6.2  to eur3 .3 m. sales increased in all the baltic countries as well as in russia and ukraine .
1,shares of standard chartered  stan  rose 1.2  in the ftse 100  while royal bank of scotland  rbs  shares rose 2  and barclays shares  barc   bcs  were up 1.7  .
1,shares of nokia corp. rose thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased .
1,in its financial report  published on friday  seb said its net profit soared to sek6 .745 bn in 2010 from a yearearlier sek1 .114 bn and proposed a 50  dividend increase to sek1 .50 per share .
1,sales for the department store division increased by 15  and sales for the clothing store subsidiary seppala increased by 8  meanwhile sales for hobby hall decreased by 12  .
1,at first the contract envisaged the construction of three ferryboats with an option for two more units  further confirmed at a total value of 500 mln euro   645.8 mln  .
1,kesko corporation stock exchange release 28.02.2008 at 09.30 1  1  kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kaukotelko ltd  a subsidiary wholly owned by kesko .
1,sponda plc stock exchange release 5 december 2006 at 15.45 eur 1.5 billion syndicated credit facility for sponda sponda has signed an agreement for a oneyear syndicated credit facility for a total of eur 1.5 billion .
1,the contract covers hdo platform  ac800 and cxe880 optical fttb nodes designed to increase the forward and return path capacity of the transmission networks .
1,the omx helsinki 25 index was up 0.92 pct at 2518.67 and the helsinki cap portfolio index was 0.91 pct higher at 4711.19 .
1,rinkuskiai raised the sales by 18.1 percent  to 1.37 million liters  while the sales of kauno alus grew by 14.3 percent  to 960000 liters .
1,telecomworldwire7 april 2006tj group plc sells stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling its shares of morning digital design oy to edita oyj .
1,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tips to vwr customers throughout europe .
1,the combination of all services enabling us to offer a complex and strengthened service chain not only limited to the baltic port connections but also for getting access to the world wide grimaldi network into the mediterranean  africa and north america  says uwe bakosch .
1,the company still expects its turnover in 2010 to slightly increase from the level of 2009  adding that  market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .
1,the acquisition will considerably increase kemira's sales and market position in the russian metal industry coatings market .
1,in januaryseptember 2007  finnlines ' net sales rose to eur 505.4 mn from eur 473.5 mn in the corresponding period in 2006 .
1,adjusted for changes in the group structure  the division's net sales increased by 1.7  .
1,the change will optimize the operational efficiencies of our growing business  '' said julia prohaska  director of marketing communications for fiskars .
1,they would invest not only in the physical infrastructure  but would also provide knowhow for managing and developing science and technology parks  '' said sunrise valley director andrius bagdonas .
1,4 february 2011  finnish broadband data communication systems provider teleste oyj hel  tlt1v saw its net profit jump to eur2 .1 m for the last quarter of 2010 from eur995 000 for the same period of 2009 .
1,finnish aktia group's operating profit rose to eur 17.5 mn in the first quarter of 2010 from eur 8.2 mn in the first quarter of 2009 .
1,finnish bank of _land's consolidated net operating profit increased from eur 4.8 mn in the first quarter of 2005 to eur 6.4 mn in the first quarter of 2006 .
